Fiscal Code,Name,Surname,Gender,Date of Birth,Place of Birth,Date First Shot
FRRNDR82T16A001X,Andrea,Ferrari,M,16/12/1982,Abano Terme,03/09/2020
RSSFNC23C14A007C,Francesco,Rossi,M,14/03/1923,Abbasanta,12/01/2021
FRRLSN52H5A017P,Alessandro,Ferretti,M,05/06/1952,Accettura,09/02/2021
MNTMTT23C23A027C,Matteo,Montana,M,23/03/1923,Aci Catena,06/07/2020
DVLLCU79A2A054L,Luca,Davoli,M,02/01/1979,Acuto,07/09/2021
CTLLNZ55L18A047S,Lorenzo,Catellani,M,18/07/1955,Acquaviva Picena,07/04/2021
BNCMRC68E30A058X,Marco,Bonacini,M,30/05/1968,Adrara San Rocco,22/09/2021
TTIDVD19P12B873Q,Davide,Iotti,M,12/09/2019,Casalduni,09/12/2021
MNZSMN26R22B879V,Simone,Menozzi,M,22/10/1926,Casale sul Sile,12/12/2020
CRRGPP19D17B888F,Giuseppe,Corradini,M,17/04/2019,Casaletto Spartano,26/11/2021
RIONTN81C14B886F,Antonio,Iori,M,14/03/1981,Casaleone,01/05/2021
FNTRCR89L20B892S,Riccardo,Fontane,M,20/07/1989,Casalfiumanese,29/08/2020
BRBMTT20M23B893A,Mattia,Barbieri,M,23/08/1920,Casalgrande,02/12/2021
BRTLSS73H13B890R,Alessio,Bertani,M,13/06/1973,Casaletto di Sopra,02/05/2021
MGNFRC66R7H294J,Federico,Magnani,M,07/10/1966,Rimini,25/09/2021
SPGGNN58P11H305D,Giovanni,Spaggiari,M,11/09/1958,Rio Marina,25/08/2020
SSSGRL95A31H300I,Gabriele,Sassi,M,31/01/1995,Riofreddo,10/06/2021
BRTMHL44T9H301Z,Michele,Bertolin,M,09/12/1944,Riola Sardo,21/12/2020
BGIDNL69B8E238N,Daniele,Bigi,M,08/02/1969,Guardamiglio,08/10/2020
BRGSFN05M10E239F,Stefano,Borghi,M,10/08/2005,Guardavalle,16/11/2020
GDTLRD82A27E241E,Leonardo,Guidetti,M,27/01/1982,Guardea,01/08/2021
SLSNCL09E1E245F,Nicola,Salsi,M,01/05/2009,Guardia Lombardi,15/08/2020
FRNSVT26D24E246Y,Salvatore,Fornaciari,M,24/04/1926,Guardia Perticara,19/10/2020
BRGMNL25S1E242Q,Emanuele,Braglia,M,01/11/1925,Guardia Piemontese,08/09/2021
HUXLSS77S62E249C,Alessia,Hu,F,22/11/1977,Guardia Sanframondi,04/08/2021
RLNCHR78B41E243U,Chiara,Orlandini,F,01/02/1978,Guardiagrele,10/04/2020
PRNMTN01A68E244Z,Martina,Prandi,F,28/01/2001,Guardialfiera,29/10/2020
SPSGLI82E47E248K,Giulia,Esposito,F,07/05/1982,Guardiaregia,15/04/2020
VZZSRA82M60E337F,Sara,Vezzani,F,20/08/1982,Isnello,09/08/2021
BRTFNC15R71E338H,Francesca,Bartoli,F,31/10/2015,Isola D'Asti,01/03/2020
CHNFRC87A71E341S,Federica,Chen,F,31/01/1987,Isola Del Cantone,10/09/2021
BNOGRG74P46E348H,Giorgia,Boni,F,06/09/1974,Isola Del Giglio,05/01/2020
VCCLCA65S44E343W,Alice,Vecchi,F,04/11/1965,Isola Del Gran Sasso D'Italia,10/05/2020
GRSNNA92M67E317O,Anna,Grassi,F,27/08/1992,Inzago,22/01/2021
SNCLSE31E70E321R,Elisa,Soncini,F,30/05/1931,Ionadi,16/12/2021
SNGSFO42A49G088A,Sofia,Singh,F,09/01/1942,Orbetello,22/07/2020
BDGVNT84C49G089L,Valentina,Bedognin,F,09/03/1984,Orciano Di Pesaro,08/10/2020
FRRLNE94D55G090K,Elena,Ferri,F,15/04/1994,Orciano Pisano,24/06/2021
CDLRRA09L51D522B,Aurora,Codeluppi,F,11/07/2009,Orco Feglino,10/12/2021
RNLRNN17P43M266E,Arianna,Rinaldi,F,03/09/2017,Ordona,22/05/2020
LSGLRI87R48G093O,Ilaria,Lasagni,F,08/10/1987,Orero,11/03/2020
BNSGDI27H46G095T,Giada,Benassi,F,06/06/1927,Orgiano,19/12/2020
FNTLSN26M71G383K,Alessandra,Fantini,F,31/08/1926,San Nicolo' Gerrei,17/09/2020
PNCLRA59D67I066S,Laura,Panciroli,F,27/04/1959,San Pancrazio Salentino,09/11/2021
PCCBRC05B63G407U,Beatrice,Piccinini,F,23/02/2005,San Paolo,31/08/2020
BNNSLV61B62B906K,Silvia,Bonini,F,22/02/1961,San Paolo Albanese,10/03/2020
RSSMRA71R64I135T,Maria,Russo,F,24/10/1971,San Quirico D'Orcia,06/10/2020
SMNLNR04L61I136D,Eleonora,Simonazzi,F,21/07/2004,San Quirino,06/12/2020
CMPGAI56E58F713N,Gaia,Campani,F,18/05/1956,Morbello,20/03/2020
CSNNCL00H51A703P,Nicole,Cusinato,F,11/06/2000,Bassano del Grappa,28/06/2021
TRBRCR00L30L407M,Riccardo,Trabucco,M,30/07/2000,Treviso,09/08/2021
MRTSAI99B52C957F,Asia,Martini,F,12/02/1999,Conegliano,03/07/2021
RCCNDR00T29G888M,Andrea,Rocco,M,29/12/2000,Pordenone,17/09/2021
PRVLRD00R21F839H,Leonardo,Provenzano,M,21/10/2000,Napoli,29/05/2021
MLNSLL00T54B157E,Isabella,Molon,F,14/12/2000,Brescia,26/09/2021
MDASRN76H64C743Q,Sabrina,Amadio,F,24/06/1976,Cittadella,15/08/2021
RSSPLA64R15G224Q,Paolo,Rossi,M,15/10/1964,Padova,25/09/2021
